demographic,parameter,Bycatch.reduction,Mean,Median,lcl,ucl,SSeff,Rhat
fecundity,mean.fec,,0.312587539386319,0.312569216648347,0.304840428118666,0.320294633799834,29943,1.00012639731808
fishery.mortality,mean.prop.fish.mort.ad,,0.778216743126073,0.766949152542373,0.579937304075235,1,6280,1.00379675287959
fishery.mortality,mean.prop.fish.mort.juv,,0.509136462234799,0.488372093023256,0.238805970149254,0.833333333333333,12546,1.0000314347837
growth.rate,pop.growth.rate,,0.986352174798466,0.986369697852836,0.982822657774878,0.989899657032038,1842,1.00478433278317
growth.rate,fut.growth.rate[1],0,0.989841953633392,0.989755766212565,0.973851857272529,1.00650838504669,1443,1.00108956556627
growth.rate,fut.growth.rate[2],0.5,1.01006062218605,1.01037894635075,0.997089809510589,1.02281845939247,1410,1.0016059857963
growth.rate,fut.growth.rate[3],0.75,1.0188697877121,1.02020476222778,1.00640525738005,1.02869922020772,1690,1.00465395051184
growth.rate,fut.growth.rate[4],1,1.02531295973194,1.02601934965309,1.0147399944623,1.03482547572349,2552,1.00622971138964
survival,mean.phi.ad,,0.950922687011014,0.950800782981388,0.938431914041769,0.964158978942064,666,1.01585608317626
survival,mean.phi.juv,,0.830548213622741,0.831053764411485,0.777981321238977,0.884280877472584,1456,1.02049211470192
